contractor_name,license_number,specialty,permit_count,total_project_value
"GREEN LAKE REMODEL, LLC",GREENLR931RG,General Contractor,7,1712869
Galaxy Partners LLC,GALAXPL755JG,Single Family/Duplex,7,5691014
HABITAT FOR HUMANITY SEA - KC,HABITFH871O3,General Contractor,7,2358696
HERRON HOMES LLC,HERROHL827P2,General Contractor,7,1856480
HOFFMAN RECONSTRUCTION LLC,HOFFMRL761NN,General Contractor,7,1212428
HYBRID ASSEMBLY LLC,HYBRIAL902KR,General Contractor,7,5733466
J D JOHNSON CONST & DESIGN INC,JDJOHCD060KR,General Contractor,7,1061845
J&C CONTRACTORS LLC,JCCONCL872JD,General Contractor,7,403310
JOHNSON BROTHERS CONSTRUCTION,JOHNSBC075DU,General Contractor,7,762322
JP RENOVATIONN LLC,JPRENRL807MH,General Contractor,7,707565
KAOS CONSTRUCTION LLC,KAOSCCL784K7,General Contractor,7,2006608
KCM Construction LLC,KCMCOCL773P4,Single Family/Duplex,7,2948374
L O G RENOVATION LLC,LOGREOG834MM,General Contractor,7,1574985
LEVEL UP HOMES LLC,LEVELUH792KP,General Contractor,7,1235030
MN CUSTOM HOMES LLC,MNCUSCH890MQ,General Contractor,7,6080556
MOKAN HOMES LLC,MOKANHL813BG,General Contractor,7,5422861
Mountain West Development Inc,MOUNTWD774CA,General Contractor,7,1168000
NEIL KELLY COMPANY INC,NEILKCI187O2,General Contractor,7,1267134
NORTH WEST HANDLING SYS INC,NORTHWH275JF,General Contractor,7,325800
POTTER CONSTRUCTION INC,POTTECI016RL,General Contractor,7,703000
RD REMODELING LLC,RDREMRL762N1,General Contractor,7,536844
RE: DESIGN BUILDERS LLC,REDESDB944R7,General Contractor,7,550000
REMONT CONSTRUCTION LLC,REMONCL831OL,General Contractor,7,1843507
RENOVATE CONSTRUCTION LLC,RENOVCL823PB,General Contractor,7,703000
RICHARD GENERAL CONTRACTRS LLC,RICHAGC814BT,General Contractor,7,619691
SCHULTZ MILLER INC,SCHULMI114NC,General Contractor,7,1608059
SG SITE SOLUTIONS LLC,SGSITSS768KM,General Contractor,7,2983840
SHELTER HOMES LLC,SHELTHL840QQ,General Contractor,7,6315681
T C I INC,TCIIN**077OO,General Contractor,7,1668739
TRINITY BUILT LLC,TRINIBL761R3,Single Family/Duplex,7,4475235
VERTICAL CONSTRUCTION GRP LLC,VERTICG913PZ,General Contractor,7,2345000
WESTMARK CONSTRUCTION INC,WESTMCI012D3,Commercial,7,1786371
WOODMAN CONSTRUCTION INC,WOODMCI167O6,General Contractor,7,3871912
WOODMARK HOMES LLC,WOODMHL938NB,General Contractor,7,1660901
AGA REAL ESTATE LLC,AGARERE848DC,General Contractor,6,765261
ALL HERO SERVICE LLC,ALLHEHS776OQ,General Contractor,6,2769818
APR CONSTRUCTION NW LLC,APRCOCN790BK,General Contractor,6,720419
ARCHER SMITH,ARCHES*858DR,General Contractor,6,786394
ARROW NORTH CONSTRUCTION LLC,ARROWNC821P3,General Contractor,6,275382
B & C TOWER LLC,BCTOWCT896B5,General Contractor,6,78000
BAD BOYZ GC LLC,BADBOBG831RA,General Contractor,6,2159170
BIG SKY NORTHWEST LLC,BIGSKSN841CC,General Contractor,6,2112533
BLUE SOUND CONSTRUCTION INC,BLUESSC948NA,General Contractor,6,2120000
CB CONSTRUCTION,CBCONC*852P8,General Contractor,6,464061
COMMUNITY CHANCE LLC,COMMUCL786MQ,General Contractor,6,3441320
CONSTANTINE BUILDERS INC,CONSTBI982J5,General Contractor,6,1554209
ER CONSTRUCTION LLC,ERCONCL877OK,General Contractor,6,832067
ESC REMODEL LLC,ESCRERL842C9,General Contractor,6,1019191
GRANITE CONSTRUCTION COMPANY,GRANICC916DL,General Contractor,6,195000
GREENBUILD DEVELOPMENT LLC,GREENDL881KA,General Contractor,6,2101937
HANDCRAFTED SOLUTIONS,HANDCS*791NE,General Contractor,6,332887
HEARTWOOD BUILDERS INC,HEARTBI995PB,General Contractor,6,400280
HOMES WEST INC,HOMESWI864LT,General Contractor,6,2818777
ICA CONSTRUCTION,ICACOC*917QS,General Contractor,6,912758
INSTYLE HOMES LLC,INSTYHL811B4,General Contractor,6,2553052
J L REMODELING INC,JLREMI*981JD,General Contractor,6,204750
J M RILEY CO,JMRILMR880MR,General Contractor,6,1079000
LAKELAND BUILDERS INC,LAKELBI081J9,General Contractor,6,1162780
LUCID HOME DESIGNS,LUCIDHD791NR,General Contractor,6,1067098
LZ EXCAVATION & CONST LLC,LZEXCEC785PQ,General Contractor,6,3897868
LZL CONSTRUCTION INC,LZLCOI*085BA,General Contractor,6,1083623
M D DESIGN,MDDESDD953KB,General Contractor,6,585812
MARPAC CONSTRUCTION LLC,MARPACL055JP,General Contractor,6,1878310
MASTEC NORTH AMERICA INC,MASTENA991KJ,General Contractor,6,245000
NORTHWAY CONSTRUCTION INC,NORTHCI905CQ,General Contractor,6,1795000
NW CRAFT HOMES LLC,NWCRACH760M6,General Contractor,6,4641314
Nucon LLC,NUCONL*762RQ,Single Family/Duplex,6,2218492
PENNON CONSTRUCTION CO INC,PENNOCC013Q3,General Contractor,6,2299148
POP PROPERTY SERVICES,POPPRPS814JP,General Contractor,6,515500
PRIME DEVELOPMENT LLC,PRIMEDL773QM,General Contractor,6,5780604
R MILLER INC,RMILLMI871NH,General Contractor,6,4758646
RIVERS EDGE ENVRNMNTL SRVS INC,RIVEREE855DT,General Contractor,6,1135738
RTG CONSTRUCTION LLC,RTGCOCL820C3,General Contractor,6,2249558
RUDD CONSTRUCTION LLC,RUDDCCL848L7,General Contractor,6,1009989
RYAN GENERAL CONTRACTORS INC,RYANGCI930PC,General Contractor,6,3513309
S & L CONSTRUCTION INC,SLCONLC940L7,General Contractor,6,2004914
SILVER PEAK CNTRCTNG SRVCS LLC,SILVEPC907LT,General Contractor,6,536852
SKANSKA USA BUILDING INC,SKANSUB985RT,General Contractor,6,4623380
SONIC HOME IMPROVEMENTS,SONICHI783J1,General Contractor,6,1146306
SPLINE,SPLIN**758CC,General Contractor,6,1896364
